客车,家庭自用,小型汽车号牌,燃油,个人,自然人,否,否,否,否,否
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,否,否,否,否,是
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,否,否,否,是,否
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,否,否,否,是,是
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,否,否,非港澳车,否,否
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,否,否,非港澳车,否,是
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,否,否,非港澳车,是,否
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,否,否,非港澳车,是,是
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,否,否,港澳车,否,否
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,否,否,港澳车,否,是
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,否,否,港澳车,是,否
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,否,否,港澳车,是,是
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,否,是,否,否,否
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,否,是,否,否,是
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,否,是,否,是,否
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,否,是,否,是,是
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,否,是,非港澳车,否,否
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,否,是,非港澳车,否,是
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,否,是,非港澳车,是,否
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,否,是,非港澳车,是,是
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,否,是,港澳车,否,否
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,否,是,港澳车,否,是
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,否,是,港澳车,是,否
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,否,是,港澳车,是,是
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,是,否,否,否,否
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,是,否,否,否,是
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,是,否,否,是,否
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,是,否,否,是,是
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,是,否,非港澳车,否,否
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,是,否,非港澳车,否,是
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,是,否,非港澳车,是,否
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,是,否,非港澳车,是,是
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,是,否,港澳车,否,否
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,是,否,港澳车,否,是
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,是,否,港澳车,是,否
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,是,否,港澳车,是,是
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,是,是,否,否,否
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,是,是,否,否,是
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,是,是,否,是,否
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,是,是,否,是,是
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,是,是,非港澳车,否,否
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,是,是,非港澳车,否,是
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,是,是,非港澳车,是,否
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,是,是,非港澳车,是,是
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,是,是,港澳车,否,否
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,是,是,港澳车,否,是
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,是,是,港澳车,是,否
客车,家庭自用,小型汽车号牌,燃油,个人,自然人,是,是,港澳车,是,是
客车,家庭自用,小型汽车号牌,燃油,个人,法人或其他组织,否,否,否,否,否
客车,家庭自用,小型汽车号牌,燃油,个人,法人或其他组织,否,否,否,否,是
客车,家庭自用,小型汽车号牌,燃油,个人,法人或其他组织,否,否,否,是,否
客车,家庭自用,小型汽车号牌,燃油,个人,法人或其他组织,否,否,否,是,是
客车,家庭自用,小型汽车号牌,燃油,个人,法人或其他组织,否,否,非港澳车,否,否
